Наименование;Сссылка;Цена;Состав;Наличие на складе;Описание пряжи;Изображение пряжи
Пряжа в бобинах Babilonia (03 - Чёрно - фиолетовый);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-babilonia-03-cerno-fioletovii/;6,28₽/ шт;100 г / 500 м, цена за 1 г, остаток в граммахСостав:30% кашемир, 30% ангора, 30% меринос экстрафайн, 10% полиамидна складе:1235 шт.;Наличие:на складе;6,28₽/ шт100 г / 500 м, цена за 1 г, остаток в граммахСостав:30% кашемир, 30% ангора, 30% меринос экстрафайн, 10% полиамидна складе:1235 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/03/63/16303/images/30025/30025.200.jpg
Пряжа в бобинах Babilonia (02 - Болотный);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-babilonia-02-bolotnii/;6,28₽/ шт;100 г / 500 м, цена за 1 г, остаток в граммахСостав:30% кашемир, 30% ангора, 30% меринос экстрафайн, 10% полиамидна складе:790 шт.;Наличие:на складе;6,28₽/ шт100 г / 500 м, цена за 1 г, остаток в граммахСостав:30% кашемир, 30% ангора, 30% меринос экстрафайн, 10% полиамидна складе:790 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/02/63/16302/images/30022/30022.200.jpg
Пряжа в бобинах Babilonia (01 - Петроль);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-babilonia-01-petrol/;6,28₽/ шт;100 г / 500 м, цена за 1 г, остаток в граммахСостав:30% кашемир, 30% ангора, 30% меринос экстрафайн, 10% полиамидна складе:735 шт.;Наличие:на складе;6,28₽/ шт100 г / 500 м, цена за 1 г, остаток в граммахСостав:30% кашемир, 30% ангора, 30% меринос экстрафайн, 10% полиамидна складе:735 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/01/63/16301/images/30016/30016.200.jpg
Пряжа в бобинах Tiber (100 - Молочный);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-tiber-100-molocnii/;6,96₽/ шт;100 г / 600 м, цена за 1 г, остаток в граммахСостав:20% як, 30% шёлк, 50% мериносна складе:856 шт.;Наличие:на складе;6,96₽/ шт100 г / 600 м, цена за 1 г, остаток в граммахСостав:20% як, 30% шёлк, 50% мериносна складе:856 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/99/62/16299/images/30004/30004.200.jpg
Пряжа в бобинах Yakysilk (22 - Бежевый меланж);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-yakysilk-22-bejevii-melanj/;8,61₽/ шт;100 г / 650 м, цена за 1 г, остаток в граммахСостав:50% як, 50% шёлк.на складе:706 шт.;Наличие:на складе;8,61₽/ шт100 г / 650 м, цена за 1 г, остаток в граммахСостав:50% як, 50% шёлк.на складе:706 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/98/62/16298/images/30001/30001.200.jpg
Журнал The Knitter №3/2021;https://klubki-v-korzinke.ru//product/zhurnal-the-knitter-3-2021/;149₽/ шт;на складе:8 шт.;Наличие:на складе;149₽/ штна складе:8 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/97/62/16297/images/29996/29996.200.jpg
Пряжа в бобинах Kiss Kiss (120643 - Кукуруза);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-kiss-kiss-120643-kukuruza/;4,68₽/ шт;100 г / 300 м, цена за 1 г, остаток в граммахСостав:55% меринос, 35% шёлк, 8% ангора, 2% полиамидна складе:920 шт.;Наличие:на складе;4,68₽/ шт100 г / 300 м, цена за 1 г, остаток в граммахСостав:55% меринос, 35% шёлк, 8% ангора, 2% полиамидна складе:920 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/96/62/16296/images/29993/29993.200.jpg
Пряжа в бобинах Fine camel (10704 - Капучино);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-fine-camel-10704-kapucino/;5,58₽/ шт;100 г / 1150м, цена за 1 г, остаток в граммахСостав:78% беби кэмел,22% нейлонна складе:964 шт.;Наличие:на складе;5,58₽/ шт100 г / 1150м, цена за 1 г, остаток в граммахСостав:78% беби кэмел,22% нейлонна складе:964 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/95/62/16295/images/29989/29989.200.jpg
Пряжа в бобинах Zermatt (306698 - Тёмно - сиреневый);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-zermatt-306698-temno-sirenevii/;7,52₽/ шт;100 г / 1200  м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:978 шт.;Наличие:на складе;7,52₽/ шт100 г / 1200  м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:978 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/94/62/16294/images/29986/29986.200.jpg
Пряжа в бобинах Zermatt (708928 - Пудра);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-zermatt-708928-pudra/;7,52₽/ шт;100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:976 шт.;Наличие:на складе;7,52₽/ шт100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:976 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/93/62/16293/images/29980/29980.200.jpg
Пряжа в бобинах Zermatt (708142 - Нежно - розовый);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-zermatt-708142-nejno-rozovii/;7,52₽/ шт;100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:906 шт.;Наличие:на складе;7,52₽/ шт100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:906 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/92/62/16292/images/29973/29973.200.jpg
Пряжа в бобинах Zermatt (708923 - Лимонный);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-zermatt-708923/;7,52₽/ шт;100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:996 шт.;Наличие:на складе;7,52₽/ шт100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:996 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/91/62/16291/images/29969/29969.200.jpg
Пряжа в бобинах Zermatt (728809 - Яркий коралл);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-zermatt-728809-iarkii-korall/;7,52₽/ шт;100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:944 шт.;Наличие:на складе;7,52₽/ шт100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:944 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/90/62/16290/images/29966/29966.200.jpg
Пряжа в бобинах Zermatt (708149 - Незабудка);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-zermatt-708149-nezabudka/;7,52₽/ шт;100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:676 шт.;Наличие:на складе;7,52₽/ шт100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:676 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/89/62/16289/images/29959/29959.200.jpg
Пряжа в бобинах Zermatt (707201 - Тёмная фиалка);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-zermatt-707201/;7,52₽/ шт;100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:984 шт.;Наличие:на складе;7,52₽/ шт100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:984 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/88/62/16288/images/29954/29954.200.jpg
Пряжа в бобинах Zermatt (201432 - Светлый шиповник);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-zermatt-708131-orhideia-1/;7,52₽/ шт;100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:960 шт.;Наличие:на складе;7,52₽/ шт100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:960 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/87/62/16287/images/29950/29950.200.jpg
Пряжа в бобинах Zermatt (708131 - Орхидея);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-zermatt-708131-orhideia/;7,52₽/ шт;100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:896 шт.;Наличие:на складе;7,52₽/ шт100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:896 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/86/62/16286/images/29947/29947.200.jpg
Пряжа в бобинах Zermatt (309939 - Мадонна);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-zermatt-309939-madonna/;7,52₽/ шт;100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:996 шт.;Наличие:на складе;7,52₽/ шт100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:996 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/85/62/16285/images/29941/29941.200.jpg
Пряжа в бобинах Zermatt (305012 - Темно - зелёный);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-zermatt-305012-temno-zelenii/;7,52₽/ шт;100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:1000 шт.;Наличие:на складе;7,52₽/ шт100 г / 1200 м, цена за 1 г, остаток в граммахСостав:25% кашемир, 45% шерсть, 30% вискоза​на складе:1000 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/84/62/16284/images/29936/29936.200.jpg
Пряжа в бобинах Lady (04 - Топлёное молоко);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-lady-04-toplenoe-moloko/;4,97₽/ шт;100 г / 350 м, цена за 1 г, остаток в граммахСостав:70% альпака сури, 30% полиамидна складе:2318 шт.;Наличие:на складе;4,97₽/ шт100 г / 350 м, цена за 1 г, остаток в граммахСостав:70% альпака сури, 30% полиамидна складе:2318 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/83/62/16283/images/29932/29932.200.jpg
Пряжа в бобинах Lady (03 - Сиреневая пудра);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-lady-03-sirenevaia-pudra/;4,97₽/ шт;100 г / 350 м, цена за 1 г, остаток в граммахСостав:70% альпака сури, 30% полиамидна складе:1872 шт.;Наличие:на складе;4,97₽/ шт100 г / 350 м, цена за 1 г, остаток в граммахСостав:70% альпака сури, 30% полиамидна складе:1872 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/82/62/16282/images/29929/29929.200.jpg
Пряжа в бобинах Lady (02 - Талая вода);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-lady-02-talaia-voda/;4,97₽/ шт;100 г / 350 м, цена за 1 г, остаток в граммахСостав:70% альпака сури, 30% полиамидна складе:1584 шт.;Наличие:на складе;4,97₽/ шт100 г / 350 м, цена за 1 г, остаток в граммахСостав:70% альпака сури, 30% полиамидна складе:1584 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/81/62/16281/images/29924/29924.200.jpg
Пряжа в бобинах Lady (01 - Античная роза);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-lady-01-anticnaia-roza/;4,97₽/ шт;100 г / 350 м, цена за 1 г, остаток в граммахСостав:70% альпака сури, 30% полиамидна складе:1182 шт.;Наличие:на складе;4,97₽/ шт100 г / 350 м, цена за 1 г, остаток в граммахСостав:70% альпака сури, 30% полиамидна складе:1182 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/80/62/16280/images/29920/29920.200.jpg
Пряжа в бобинах Jazz (716300 - Молочный);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-jazz-716300-molocnii/;3,68₽/ шт;100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:572 шт.;Наличие:на складе;3,68₽/ шт100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:572 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/79/62/16279/images/29915/29915.200.jpg
Пряжа в бобинах Jazz (716304 - Молочно - бежевый);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-jazz-716304-molocno-bejevii/;3,68₽/ шт;100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:858 шт.;Наличие:на складе;3,68₽/ шт100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:858 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/78/62/16278/images/29909/29909.200.jpg
Пряжа в бобинах Jazz (716320 - Кукуруза);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-jazz-716320-kukuruza/;3,68₽/ шт;100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:708 шт.;Наличие:на складе;3,68₽/ шт100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:708 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/77/62/16277/images/29906/29906.200.jpg
Пряжа в бобинах Jazz (716319 - Шампанское);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-jazz-716319-shampanskoe/;3,68₽/ шт;100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:1042 шт.;Наличие:на складе;3,68₽/ шт100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:1042 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/76/62/16276/images/29901/29901.200.jpg
Пряжа в бобинах Jazz (716324 - Бледно - салатовый);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-jazz-716324-bledno-salatovii/;3,68₽/ шт;100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:896 шт.;Наличие:на складе;3,68₽/ шт100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:896 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/75/62/16275/images/29898/29898.200.jpg
Пряжа в бобинах Jazz (716330 - Чёрно - зелёный опал);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-jazz-716330-cerno-zelenii-opal/;3,68₽/ шт;100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:720 шт.;Наличие:на складе;3,68₽/ шт100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:720 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/73/62/16273/images/29890/29890.200.jpg
Пряжа в бобинах Jazz (716642 - Светлая ириска);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-jazz-716642-svetlaia-iriska/;3,68₽/ шт;100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:970 шт.;Наличие:на складе;3,68₽/ шт100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:970 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/72/62/16272/images/29885/29885.200.jpg
Пряжа в бобинах Jazz (716302 - Тёмный песок);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-jazz-716302-temnii-pesok/;3,68₽/ шт;100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:528 шт.;Наличие:на складе;3,68₽/ шт100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:528 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/70/62/16270/images/29874/29874.200.jpg
Пряжа в бобинах Jazz (716334 - Курага);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-jazz-716334-kuraga/;3,68₽/ шт;100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:1132 шт.;Наличие:на складе;3,68₽/ шт100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:1132 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/69/62/16269/images/29872/29872.200.jpg
Пряжа в бобинах Jazz (716512 - Джинс);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-jazz-716512-djins/;3,68₽/ шт;100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:702 шт.;Наличие:на складе;3,68₽/ шт100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:702 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/68/62/16268/images/29870/29870.200.jpg
Пряжа в бобинах Jazz (716327 - Зелень);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-jazz-716327-vodianaia-zelen/;3,68₽/ шт;100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:970 шт.;Наличие:на складе;3,68₽/ шт100 г / 280 м, цена за 1 г, остаток в граммахСостав:80% меринос, 20% вискозана складе:970 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/67/62/16267/images/29866/29866.200.jpg
Пряжа Lanagold 800 Alize - (348 - Тёмно - серый);https://klubki-v-korzinke.ru//product/prjazha-lanagold-800-alize-348-temno-serii/;171₽/ шт;100 г / 800 мСостав:49% шерсть 51% акрилна складе:28 шт.;Наличие:на складе;171₽/ шт100 г / 800 мСостав:49% шерсть 51% акрилна складе:28 шт.100 г / 800 м49% шерсть, 51% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/66/62/16266/images/29862/29862.200.jpg
Пряжа Puffy Color Alize - (6305 - Сирень, розовый, белый);https://klubki-v-korzinke.ru//product/prjazha-puffy-alize-color-6305/;163₽/ шт;100 г / 9 мСостав:100% микрополиэстерна складе:28 шт.;Наличие:на складе;163₽/ шт100 г / 9 мСостав:100% микрополиэстерна складе:28 шт.100 г, 9 м100% микрополиэстерНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/64/62/16264/images/29857/29857.200.jpg
Пряжа LANAGOLD Alize - (166 - Лиловый);https://klubki-v-korzinke.ru//product/prjazha-lanagold-alize-650-korichnevyj-melanzh-1/;171₽/ шт;100 г / 240 мСостав:49% шерсть 51% акрилна складе:27 шт.;Наличие:на складе;171₽/ шт100 г / 240 мСостав:49% шерсть 51% акрилна складе:27 шт.100 г / 240 м49% шерсть, 51% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/63/62/16263/images/29855/29855.200.jpg
Пряжа LANAGOLD PLUS Alize - (161 - Пудра);https://klubki-v-korzinke.ru//product/prjazha-lanagold-plus-alize-161-pudra/;171₽/ шт;100 г / 140 мСостав:49% шерсть 51% акрилна складе:28 шт.;Наличие:на складе;171₽/ шт100 г / 140 мСостав:49% шерсть 51% акрилна складе:28 шт.100 г / 140 м49% шерсть, 51% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/62/62/16262/images/29853/29853.200.jpg
Пряжа Lanagold Fine Alize - (585 - Молочно - бежевый);https://klubki-v-korzinke.ru//product/prjazha-lanagold-fine-alize-585-molocno-bejevii/;171₽/ шт;100 г / 390 мСостав:49% шерсть 51% акрилна складе:16 шт.;Наличие:на складе;171₽/ шт100 г / 390 мСостав:49% шерсть 51% акрилна складе:16 шт.100 г / 390 м49% шерсть, 51% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/61/62/16261/images/29851/29851.200.jpg
Пряжа BABY WOOL Alize - (275 - Сиреневая пудра);https://klubki-v-korzinke.ru//product/prjazha-baby-wool-alize-275-sirenevaia-pudra/;104₽/ шт;50 г / 175 мСостав:40% шерсть 20% бамбук 40% акрилна складе:22 шт.;Наличие:на складе;104₽/ шт50 г / 175 мСостав:40% шерсть 20% бамбук 40% акрилна складе:22 шт.50 г / 175 м40% шерсть, 20% бамбук, 40% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/60/62/16260/images/29849/29849.200.jpg
Пряжа BABY WOOL Alize - (371 - Светло - розовый);https://klubki-v-korzinke.ru//product/prjazha-baby-wool-alize-371-svetlo-rozovii/;104₽/ шт;50 г / 175 мСостав:40% шерсть 20% бамбук 40% акрилна складе:39 шт.;Наличие:на складе;104₽/ шт50 г / 175 мСостав:40% шерсть 20% бамбук 40% акрилна складе:39 шт.50 г / 175 м40% шерсть, 20% бамбук, 40% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/59/62/16259/images/29846/29846.200.jpg
Журнал Вяжем детям №2 (138) февраль 2021;https://klubki-v-korzinke.ru//product/zhurnal-vjazhem-detjam-2-138-2021/;75₽/ шт;на складе:2 шт.;Наличие:на складе;75₽/ штна складе:2 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/58/62/16258/images/29844/29844.200.jpg
Пряжа Angora Real 40 Alize - (279 - Джинс);https://klubki-v-korzinke.ru//product/prjazha-angora-real-40-alize-279-djins/;149₽/ шт;100 г / 480 мСостав:40% шерсть 60% акрилна складе:20 шт.;Наличие:на складе;149₽/ шт100 г / 480 мСостав:40% шерсть 60% акрилна складе:20 шт.100 г / 480 м40% шерсть, 60% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/57/62/16257/images/29861/29861.200.jpg
Пряжа Angora Real 40 Alize - (522 - Мята);https://klubki-v-korzinke.ru//product/prjazha-angora-real-40-alize-522-miata/;149₽/ шт;100 г / 480 мСостав:40% шерсть 60% акрилна складе:27 шт.;Наличие:на складе;149₽/ шт100 г / 480 мСостав:40% шерсть 60% акрилна складе:27 шт.100 г / 480 м40% шерсть, 60% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/56/62/16256/images/29841/29841.200.jpg
Пряжа Angora Real 40 Alize - (365 - Туманно - сиреневый);https://klubki-v-korzinke.ru//product/prjazha-angora-real-40-alize-365-tumanno-sirenevii/;149₽/ шт;100 г / 480 мСостав:40% шерсть 60% акрилна складе:20 шт.;Наличие:на складе;149₽/ шт100 г / 480 мСостав:40% шерсть 60% акрилна складе:20 шт.100 г / 480 м40% шерсть, 60% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/55/62/16255/images/29839/29839.200.jpg
Пряжа Angora Real 40 Alize - (300 - Пустынный шалфей);https://klubki-v-korzinke.ru//product/prjazha-angora-real-40-alize-300-pustinnii-shalfei/;149₽/ шт;100 г / 480 мСостав:40% шерсть 60% акрилна складе:29 шт.;Наличие:на складе;149₽/ шт100 г / 480 мСостав:40% шерсть 60% акрилна складе:29 шт.100 г / 480 м40% шерсть, 60% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/54/62/16254/images/29837/29837.200.jpg
Пряжа ANGORA GOLD Alize - (452 - Палисандр);https://klubki-v-korzinke.ru//product/prjazha-angora-gold-alize-452-palisandr/;137₽/ шт;100 г / 550 мСостав:20% шерсть 80% акрилна складе:4 шт.;Наличие:на складе;137₽/ шт100 г / 550 мСостав:20% шерсть 80% акрилна складе:4 шт.100 г / 550 м20% шерсть, 80% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/53/62/16253/images/29835/29835.200.jpg
Пряжа ANGORA GOLD Alize - (363 - Нежная роза);https://klubki-v-korzinke.ru//product/prjazha-angora-gold-alize-363-nejnaia-roza/;137₽/ шт;100 г / 550 мСостав:20% шерсть 80% акрилна складе:17 шт.;Наличие:на складе;137₽/ шт100 г / 550 мСостав:20% шерсть 80% акрилна складе:17 шт.100 г / 550 м20% шерсть, 80% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/52/62/16252/images/29832/29832.200.jpg
Пряжа ANGORA GOLD Alize - (185 - Розовый);https://klubki-v-korzinke.ru//product/prjazha-angora-gold-alize-185-rozovii/;137₽/ шт;100 г / 550 мСостав:20% шерсть 80% акрилна складе:14 шт.;Наличие:на складе;137₽/ шт100 г / 550 мСостав:20% шерсть 80% акрилна складе:14 шт.100 г / 550 м20% шерсть, 80% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/51/62/16251/images/29830/29830.200.jpg
Пряжа ANGORA GOLD Alize - (234 - Рыжий);https://klubki-v-korzinke.ru//product/prjazha-angora-gold-alize-234-rijii/;137₽/ шт;100 г / 550 мСостав:20% шерсть 80% акрилна складе:22 шт.;Наличие:на складе;137₽/ шт100 г / 550 мСостав:20% шерсть 80% акрилна складе:22 шт.100 г / 550 м20% шерсть, 80% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/50/62/16250/images/29828/29828.200.jpg
Пряжа ANGORA GOLD SIMLI Alize - (681 - Светлый персик);https://klubki-v-korzinke.ru//product/prjazha-angora-gold-simli-alize-681-svetlii-persik/;151₽/ шт;100 г / 500 мСостав:20% шерсть 75% акрил 5% металликна складе:23 шт.;Наличие:на складе;151₽/ шт100 г / 500 мСостав:20% шерсть 75% акрил 5% металликна складе:23 шт.100 г / 500 м 10% мохер, 10% шерсть, 75% акрил, 5% металликНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/49/62/16249/images/29825/29825.200.jpg
Пряжа Троицкая «Фиджи» - (34 - Золото);https://klubki-v-korzinke.ru//product/pryazha-troitskaya-fiji-34-zoloto/;58₽/ шт;50 г / 95 мСостав:20% шерсть мериноса 60% хлопок 20% акрилна складе:24 шт.;Наличие:на складе;"58₽/ шт50 г / 95 мСостав:20% шерсть мериноса 60% хлопок 20% акрилна складе:24 шт.20% шерсть мериноса, 60% хлопок, 20% акрил
50 г / 95 мНаличие:на складе";https://klubki-v-korzinke.ru//wa-data/public/shop/products/45/62/16245/images/29815/29815.200.jpg
Пряжа Троицкая «Фиджи» - (58 - Коралл);https://klubki-v-korzinke.ru//product/pryazha-troitskaya-fiji-58-korall/;58₽/ шт;50 г / 95 мСостав:20% шерсть мериноса 60% хлопок 20% акрилна складе:24 шт.;Наличие:на складе;"58₽/ шт50 г / 95 мСостав:20% шерсть мериноса 60% хлопок 20% акрилна складе:24 шт.20% шерсть мериноса, 60% хлопок, 20% акрил
50 г / 95 мНаличие:на складе";https://klubki-v-korzinke.ru//wa-data/public/shop/products/38/62/16238/images/29800/29800.200.jpg
