Наименование;Сссылка;Цена;Состав;Наличие на складе;Описание пряжи;Изображение пряжи
Пряжа COTTON GOLD Alize - (514 - Зимнее небо);https://klubki-v-korzinke.ru//product/prjazha-cotton-gold-alize-514-zimnee-nebo/;169₽/ шт;100 г / 330 мСостав:55% хлопок 45% акрилна складе:26 шт.;Наличие:на складе;169₽/ шт100 г / 330 мСостав:55% хлопок 45% акрилна складе:26 шт.100 г / 330 м 55 % хлопок, 45% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/65/63/16365/images/30205/30205.200.jpg
Пряжа COTTON GOLD Alize - (478 - Детская зелень);https://klubki-v-korzinke.ru//product/prjazha-cotton-gold-alize-478-detskaia-zelen/;169₽/ шт;100 г / 330 мСостав:55% хлопок 45% акрилна складе:26 шт.;Наличие:на складе;169₽/ шт100 г / 330 мСостав:55% хлопок 45% акрилна складе:26 шт.100 г / 330 м 55 % хлопок, 45% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/64/63/16364/images/30203/30203.200.jpg
Пряжа COTTON GOLD Alize - (374 - Светлый джинс);https://klubki-v-korzinke.ru//product/prjazha-cotton-gold-alize-374-svetlii-djins/;169₽/ шт;100 г / 330 мСостав:55% хлопок 45% акрилна складе:30 шт.;Наличие:на складе;169₽/ шт100 г / 330 мСостав:55% хлопок 45% акрилна складе:30 шт.100 г / 330 м 55 % хлопок, 45% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/63/63/16363/images/30201/30201.200.jpg
Пряжа COTTON GOLD Alize - (401 - Розовая пудра);https://klubki-v-korzinke.ru//product/prjazha-cotton-gold-alize-401-rozovaia-pudra/;169₽/ шт;100 г / 330 мСостав:55% хлопок 45% акрилна складе:26 шт.;Наличие:на складе;169₽/ шт100 г / 330 мСостав:55% хлопок 45% акрилна складе:26 шт.100 г / 330 м 55 % хлопок, 45% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/62/63/16362/images/30199/30199.200.jpg
Пряжа Baby Best Batik Alize - (7542 - Графит, сталь, белый);https://klubki-v-korzinke.ru//product/prjazha-baby-best-batik-alize-7542/;141₽/ шт;100 г / 240 мСостав:90% акрил 10% бамбукна складе:25 шт.;Наличие:на складе;141₽/ шт100 г / 240 мСостав:90% акрил 10% бамбукна складе:25 шт.100 г / 240 м, 90% антипиллинговый акрил, 10% бамбукНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/61/63/16361/images/30197/30197.200.jpg
Пряжа Alpaca Royal Alize - (512 - Серо - бежевый);https://klubki-v-korzinke.ru//product/prjazha-alpaca-royal-alize-512-sero-bejevii/;209₽/ шт;100 г / 250 мСостав:30% альпака 15% шерсть 55% акрилна складе:20 шт.;Наличие:на складе;209₽/ шт100 г / 250 мСостав:30% альпака 15% шерсть 55% акрилна складе:20 шт.100 г / 250 м30% альпака, 15% шерсть, 55% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/59/63/16359/images/30195/30195.200.jpg
Пряжа Diva Ombre Batik Alize - (7367 - Ярко- розовый, св.розовый);https://klubki-v-korzinke.ru//product/prjazha-diva-ombre-batik-alize-7364/;429₽/ шт;250 г / 875 мСостав:100% микрофибра-акрилна складе:1 шт.;Наличие:на складе;429₽/ шт250 г / 875 мСостав:100% микрофибра-акрилна складе:1 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/58/63/16358/images/30191/30191.200.jpg
Пряжа Diva Ombre Batik Alize - (7374 - Полынь, суровый лён);https://klubki-v-korzinke.ru//product/prjazha-diva-ombre-batik-alize-7374/;429₽/ шт;250 г / 875 мСостав:100% микрофибра-акрилна складе:8 шт.;Наличие:на складе;429₽/ шт250 г / 875 мСостав:100% микрофибра-акрилна складе:8 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/57/63/16357/images/30188/30188.200.jpg
Пряжа Diva Ombre Batik Alize - (7380 - Серый, св.серый);https://klubki-v-korzinke.ru//product/prjazha-diva-ombre-batik-alize-7380/;429₽/ шт;250 г / 875 мСостав:100% микрофибра-акрилна складе:6 шт.;Наличие:на складе;429₽/ шт250 г / 875 мСостав:100% микрофибра-акрилна складе:6 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/56/63/16356/images/30185/30185.200.jpg
Пряжа Diva Ombre Batik Alize - (7375 - Кора, св.ореховый);https://klubki-v-korzinke.ru//product/prjazha-diva-ombre-batik-alize-7375/;429₽/ шт;250 г / 875 мСостав:100% микрофибра-акрилна складе:7 шт.;Наличие:на складе;429₽/ шт250 г / 875 мСостав:100% микрофибра-акрилна складе:7 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/55/63/16355/images/30182/30182.200.jpg
